ts,type,ch,tx_rx,data,fcs,port,sim
23.33532,ETH,1,Rx,45:020000001001A81374BD389D0800450000370840400080061CCDA9FE6EB6A9FE1301FF2634587EA9263B0000589C50182013B892000002FD8001000000070E801A0122DD02,FCS:29e8c9bb,Ports:Port6,Sim:0
23.335494,ETH,1,Rx,3c:A81374BD389D02000000100108004500002857C3000040064D59A9FE1301A9FE6EB63458FF260000589C7EA9264A50103FF169200000000000000000,FCS:94df9e68,Ports:Port5,Sim:0
23.336936,ETH,1,Rx,43:A81374BD389D02000000100108004500003557C4000040064D4BA9FE1301A9FE6EB63458FF260000589C7EA9264A50184000BD76000002FD8002000000051A010E8000,FCS:20cd2f1d,Ports:Port5,Sim:0
23.36199,ETH,1,Rx,46:A81374BD389D02000000100108004500003857C5000040064D47A9FE1301A9FE6EB63458FF26000058A97EA9264A5018400057F9000002FD8001000000081A010E8062DD028E,FCS:f96b35c5,Ports:Port5,Sim:0
23.362191,ETH,1,Rx,3c:020000001001A81374BD389D0800450000280841400080061CDBA9FE6EB6A9FE1301FF2634587EA9264A000058B95010201388E10000000000000000,FCS:ec0eaa8b,Ports:Port6,Sim:0
23.364965,ETH,1,Rx,45:020000001001A81374BD389D0800450000370842400080061CCBA9FE6EB6A9FE1301FF2634587EA9264A000058B950182013B066000002FD8001000000070E801A0122DD0A,FCS:3a059003,Ports:Port6,Sim:0
23.365138,ETH,1,Rx,3c:A81374BD389D02000000100108004500002857C6000040064D56A9FE1301A9FE6EB63458FF26000058B97EA9265950103FF168F40000000000000000,FCS:4840f9e2,Ports:Port5,Sim:0
23.366935,ETH,1,Rx,43:A81374BD389D02000000100108004500003557C7000040064D48A9FE1301A9FE6EB63458FF26000058B97EA9265950184000BD4A000002FD8002000000051A010E8000,FCS:dacd60d8,Ports:Port5,Sim:0
23.391989,ETH,1,Rx,46:A81374BD389D02000000100108004500003857C8000040064D44A9FE1301A9FE6EB63458FF26000058C67EA92659501840005059000002FD8001000000081A010E8062DD0A02,FCS:95d2cbba,Ports:Port5,Sim:0
23.392248,ETH,1,Rx,3c:020000001001A81374BD389D0800450000280843400080061CD9A9FE6EB6A9FE1301FF2634587EA92659000058D65010201388B50000000000000000,FCS:2a018ffe,Ports:Port6,Sim:0
23.428061,ETH,1,Rx,45:020000001001A81374BD389D0800450000370844400080061CC9A9FE6EB6A9FE1301FF2634587EA92659000058D650182013C499000002FD8001000000070E8016352249FA,FCS:f07c2412,Ports:Port6,Sim:0
23.428235,ETH,1,Rx,3c:A81374BD389D02000000100108004500002857C9000040064D53A9FE1301A9FE6EB63458FF26000058D67EA9266850103FF168C80000000000000000,FCS:42839d2d,Ports:Port5,Sim:0
23.429934,ETH,1,Rx,43:A81374BD389D02000000100108004500003557CA000040064D45A9FE1301A9FE6EB63458FF26000058D67EA9266850184000C0EA000002FD80020000000516350E8000,FCS:1146b2a2,Ports:Port5,Sim:0
23.45699,ETH,1,Rx,46:A81374BD389D02000000100108004500003857CB000040064D41A9FE1301A9FE6EB63458FF26000058E37EA9266850184000648E000002FD80010000000816350E806249FA00,FCS:ce1f940e,Ports:Port5,Sim:0
23.457155,ETH,1,Rx,3c:020000001001A81374BD389D0800450000280845400080061CD7A9FE6EB6A9FE1301FF2634587EA92668000058F35010201388890000000000000000,FCS:a0124318,Ports:Port6,Sim:0
23.541452,ETH,1,Rx,44:020000001001A81374BD389D0800450000360846400080061CC8A9FE6EB6A9FE1301FF2634587EA92668000058F350182013986F000002FD8001000000060E801FFF3E80,FCS:93b94d22,Ports:Port6,Sim:0
23.541626,ETH,1,Rx,3c:A81374BD389D02000000100108004500002857CC000040064D50A9FE1301A9FE6EB63458FF26000058F37EA9267650103FF2689C0000000000000000,FCS:30b8777c,Ports:Port5,Sim:0
